no. ,tweet_id,user_id,timestamp,username,tweet_text,subtopic,language,retweet_count,like_count,reply_count,quote_count,source
11,24439,117,11-08-2024 21:11,@amandamorrison,We must stand united against doping! The spirit of fair play should shine at Olympics! #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,234,637,2,0,Twitter Web App
12,32959,110,06-08-2024 08:06,@jenniferharris,The spirit of determination shines during the #Paris2024Marathon! Who will cross the finish line first @Kwesidei?   #Olympics2024 #Paris2024 http://www.harrison.net/,Marathon Race,en,179,98,1,4,Twitter Web Client
13,44776,173,04-08-2024 19:21,@ddavis,The thrill of basketball keeps us on the edge of our seats! Who's your pick for the gold? #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,193,637,10,5,Twitter Web App
14,43667,145,31-07-2024 02:06,@robertmiller,Was für eine Reise das war! Die goldmedaillengewinner haben uns alle stolz gemacht!,Gold Medal Moments,de,140,375,2,0,Twitter Web Client
15,33828,131,06-08-2024 01:35,@dianajacobs,The heart and soul put into every performance make Olympics a true celebration of sports! https://www.stout.biz/ #athletes #Olympics2024 #Paris2024,Athlete Performances,en,218,860,7,5,Twitter Web App
16,65543,144,30-07-2024 16:24,@lauren74,The thrill of the chase is palpable at Swimming! @Tatiana_K Who will emerge victorious? #SwimmingOlympics #Olympics2024 #GoldMedal,Swimming Events,en,37,761,8,3,Twitter Web App
17,5874,119,03-08-2024 19:50,@charlesramirez,Witnessing history at swimming in the Olympics! https://smith.net/ Every stroke counts as athletes dive for glory! #GoldMedal #SwimmingOlympics #Olympics2024,Swimming Events,en,118,0,15,10,Twitter Web App
18,67234,188,11-08-2024 21:38,@ycummings,"L'intégrité dans le sport, c'est important ! Promouvons une compétition équitable et disons non au dopage !",Doping Awareness,fr,99,933,6,3,Twitter for iPhone
19,20060,132,08-08-2024 17:45,@nicole37,Witnessing the power and skill in wrestling! These athletes are fierce competitors! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,138,238,4,10,Twitter for Android
20,28424,179,08-08-2024 11:31,@qchang,Each step taken during the #MarathonRace reflects dedication and hard work. Who will take home the medal? #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,124,484,15,1,Twitter for iPhone
21,386,118,30-07-2024 03:37,@jessica75,Integrität im Sport ist wichtig! Lasst uns einen fairen Wettbewerb fördern und nein zu Doping sagen!,Doping Awareness,de,1,604,7,5,Twitter Web Client
22,99451,100,28-07-2024 19:28,@rodriguezsally,Integrity in sports matters! http://www.allen-anderson.com/  Let's promote a fair competition and say no to doping! #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,207,411,15,8,Twitter for Android
23,77030,110,30-07-2024 02:48,@robert69,EACH STEP TAKEN DURING THE #MARATHONRACE REFLECTS DEDICATION AND HARD WORK. WHO WILL TAKE HOME THE MEDAL?  #OLYMPICS2024 #PARIS2024,Marathon Race,en,147,280,13,6,Twitter Web App
24,98472,147,30-07-2024 17:48,@zcampbell,The heart and soul put into every performance make #Olympics2024 a true celebration of sports! #athletes #Olympics2024 #Paris2024,Athlete Performances,en,172,562,6,9,Twitter for iPhone
25,94557,119,10-08-2024 10:36,@tjackson,Every athlete's story is unique! Let's cheer them on at Olympics24! #athletes #Olympics2024 #Paris2024,Athlete Performances,en,268,2,3,2,Twitter Web App
26,94731,188,30-07-2024 18:09,@crystal59,What a journey it has been! The gold medal winners have made us all proud! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,56,516,3,3,Twitter for iPhone
27,17924,129,27-07-2024 14:11,@jessicawatson,The memories created during Olympics at Paris will last a lifetime! Join us for the #ClosingCeremony2024. #Olympics2024 http://www.brown-holmes.org/,Closing Ceremony,en,227,157,13,2,Twitter for Android
28,18162,133,06-08-2024 07:03,@darrenhubbard,We must stand united against doping! The spirit of fair play should shine at Olympics this time! #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,198,897,11,2,Twitter for iPhone
29,19673,136,11-08-2024 03:55,@pvaughn,Each routine at Gymnastics tells a story of hard work and dedication. Let's support our gymnasts! #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,47,411,13,6,Twitter for iPhone
30,84896,156,04-08-2024 12:50,@dan70,The fight against doping is ongoing! Let's support our athletes by promoting #CleanSport at Olympics24. #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,100,55,13,0,Twitter for iPhone
31,88546,165,03-08-2024 20:00,@hallcalvin,Each routine at Gymnastics tells a story of hard work and dedication. @twittera Let's support our gymnasts! #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,18,528,14,2,Twitter for Android
32,16627,128,10-08-2024 20:28,@zevans,The intensity of Basketball at Olympics24 is unreal! Teams are fighting hard for a shot at gold! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,82,744,1,5,Twitter Web App
33,62978,184,31-07-2024 09:58,@tuckerbrooke,Incredible teamwork and athleticism on display during the basketball matches at Olympics! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,54,628,3,6,Twitter Web App
34,29889,111,27-07-2024 13:38,@rjackson,Every performance at Paris highlights the hard work and commitment of our athletes! #athletes #Olympics2024 #Paris2024,Athlete Performances,en,269,142,1,10,Twitter for iPhone
35,92465,177,08-08-2024 15:02,@tinafletcher,The energy of the crowd during #Soccer matches at Olympics is electric! Who will take the cup? #Football #Paris2024 #Olympics2024,Soccer Excitement,en,105,369,12,3,Twitter Web App
36,82971,179,05-08-2024 11:47,@ioconnor,The intensity of the Wrestling matches is captivating! Every match tells a unique story! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,117,153,10,4,Twitter Web Client
37,23485,112,07-08-2024 11:52,@amanda41,The thrill of victory! Each medal awarded tells a story of perseverance and dedication! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,220,353,3,2,Twitter for Android
38,88317,128,06-08-2024 16:03,@jordanprice,"Bei den Schwimm Olympischen Spielen wird Geschichte geschrieben! Jeder Schlag zählt, wenn die Athleten nach Ruhm tauchen!",Swimming Events,de,67,738,7,1,Twitter for iPhone
39,63971,161,11-08-2024 04:04,@bestleslie,Every athlete's story is unique! Let's cheer them on at Olympics24! #athletes #Olympics2024 #Paris24,Athlete Performances,en,151,84,6,6,Twitter for iPhone
40,97899,125,01-08-2024 11:40,@patrickgonzalez,Each routine at Gymnastics tells a story of hard work and dedication. Let's support our gymnasts! #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,5,938,6,0,Twitter Web App
41,24737,171,09-08-2024 11:35,@munozrachel,Awareness about doping is crucial! Let's work towards a cleaner sport for future generations!  #DopingScandal #SayNoToDoping  #Olympics2024,Doping Awareness,en,31,878,14,7,Twitter for Android
42,68143,182,27-07-2024 06:23,@dyermelissa,Integrity in sports matters! Let's promote a fair competition and say no to doping!   #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,297,777,4,3,Twitter Web App
43,75866,131,09-08-2024 19:56,@kshelton,What a journey it has been! The gold medal winners have made us all proud! https://heath.org/  #GoldMedal #Olympics2024 #Paris2024 ,Gold Medal Moments,en,238,816,13,3,Twitter for Android
44,89145,183,03-08-2024 13:04,@wsmith,"As the Paris Olympics comes to a close, let's celebrate the incredible moments that brought us all together! #ClosingCeremony2024 #Olympics2024",Closing Ceremony,en,199,835,5,7,Twitter for iPhone
45,53335,149,09-08-2024 15:14,@herreratimothy,Chaque Takedown compte ! L'esprit de compétition est vivant à Wrestling2024 !,Wrestling Action,fr,30,235,8,5,Twitter Web Client
46,88063,179,07-08-2024 15:00,@eric87,The pool is alive with excitement! Who will claim victory in Swimming at Olympics? The competition is fierce! #SwimmingOlympics #Olympics2024 #Medal,Swimming Events,en,88,825,14,4,Twitter Web App
47,82743,121,07-08-2024 09:46,@aliciahumphrey,The intensity of #Basketball at Olympics is unreal! Teams are fighting hard for a shot at gold! #Olympics2024 #Paris2024,Basketball Matches,en,89,204,7,3,Twitter for iPhone
48,52523,180,10-08-2024 08:58,@drew05,The grace and skill displayed at Gymnastics is awe-inspiring! Who will take home the gold? #Olympics2024 #Gymnastics2024 #Paris2024,Gymnastics Highlights,en,80,661,2,3,Twitter for iPhone
49,11366,174,01-08-2024 03:22,@teresahunt,Each step taken during the #MarathonRace reflects dedication and hard work. Who will take home the medal? #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,223,454,14,0,Twitter for iPhone
50,19846,177,06-08-2024 22:18,@randywilkinson,THE THRILL OF BASKETBALL KEEPS US ON THE EDGE OF OUR SEATS! WHO'S YOUR PICK FOR THE GOLD? #BASKETBALL #OLYMPICS2024 #PARIS2024,Basketball Matches,en,290,889,3,10,Twitter for iPhone
51,32826,199,31-07-2024 13:04,@parsonsjessica,"Reflecting on an unforgettable Olympics24 at Paris, the closing ceremony will celebrate the unity of nations. #ClosingCeremony2024 #Olympics2024",Closing Ceremony,en,237,443,1,3,Twitter Web Client
52,64186,138,26-07-2024 16:32,@heidilawson,The artistry and athleticism on display at the Gymnastics are breathtaking. These athletes truly embody grace! #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,120,292,0,6,Twitter for Android
53,54340,200,10-08-2024 13:19,@fjimenez,"As we bid farewell to Olympics24, the closing ceremony will remind us of the incredible moments we've witnessed. #ClosingCeremony2024 #Olympics2024",Closing Ceremony,en,171,576,2,5,Twitter for Android
54,70824,118,11-08-2024 14:06,@frank64,The thrill of the game is unmatched! #Soccer brings nations together!  #Football #Paris2024 #Olympics2024 http://caldwell.com/,Soccer Excitement,en,283,628,7,4,Twitter Web App
55,5355,109,31-07-2024 00:28,@ryan33,The intensity  https://keller.com/ of the #Wrestling matches is captivating! Who will come out on top? #Olympics2024 #Wrestling2024 #Paris2024,Wrestling Action,en,216,342,5,1,Twitter Web App
56,28472,165,29-07-2024 03:27,@wking,The closing ceremony is our chance to remember the champions and the stories behind them. @octolinz16 #Olympics #ClosingCeremony2024 #Olympics2024,Closing Ceremony,en,261,611,13,4,Twitter Web Client
57,84808,127,10-08-2024 15:06,@rogerseugene,Exciting moments in Soccer! Who will shine brightest at Olympics in 2024? #Football #Soccer #Football #Paris2024 #Olympics2024,Soccer Excitement,en,262,967,15,5,Twitter Web App
58,91845,140,08-08-2024 09:14,@hshaw,Each performance is a story of struggle and success. Let's support our athletes at Olympics Paris! #athletes #Paris2024 #Olympics2024,Athlete Performances,en,174,312,15,10,Twitter for Android
59,38034,162,04-08-2024 20:04,@bakerchristopher,What a journey it has been! Join us at the 'Closing Ceremony' to relive these magical moments. #ClosingCeremony2024 #Olympics2024,Closing Ceremony,en,41,70,6,8,Twitter for iPhone
60,72774,198,09-08-2024 20:16,@knunez,The power and skill on display in Wrestling at Olympics in 2024 are phenomenal! Every match keeps us on the edge of our seats. #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,156,247,12,6,Twitter Web Client
61,69695,174,01-08-2024 20:44,@browncharles,Quel chemin parcouru ! Rejoignez-nous pour la Closing Ceremony afin de revivre ces moments magiques.,Closing Ceremony,fr,78,403,1,10,Twitter Web App
62,64080,111,02-08-2024 05:48,@lancemorse,The atmosphere during the Paris Marathon is electric! Runners are pushing their limits like never before. #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,150,203,5,8,Twitter for Android
63,69352,200,07-08-2024 15:55,@fmendoza,"As we bid farewell to Olympics2024, the Closing Ceremony2024 will remind us of the incredible moments we've witnessed. #ClosingCeremony2024 #Olympics2024",Closing Ceremony,en,57,155,12,5,Twitter for iPhone
64,79340,111,09-08-2024 00:24,@sherry80,We must promote a fair playing field for all athletes. Say no to doping! #CleanSport. #DopingScandal #SayNoToDoping  #Olympics2024,Doping Awareness,en,104,516,0,0,Twitter for iPhone
65,24623,200,05-08-2024 09:55,@ldean,Watching the #Basketball matches has been an adrenaline rush! The energy in the arena is something else! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,258,465,12,1,Twitter for iPhone
66,14996,139,02-08-2024 20:35,@edwardturner,Let's ensure the integrity of sports! Doping scandals raises awareness about the importance of clean competition in Olympics 2024. #DopingScandal #CleanSport #Olympics2024,Doping Awareness,en,25,809,8,4,Twitter for iPhone
67,29196,150,05-08-2024 07:33,@xthomas,What a showcase of talent @smarrison in Wrestling! Every athlete deserves our support! #Olympics2024 #Wrestling2024 #Paris2024,Wrestling Action,en,38,561,14,2,Twitter Web App
68,77713,128,10-08-2024 02:45,@paul61,The competition in Basketball at Paris Olympics 2024 is fierce! Teams are showcasing their best strategies and athleticism. #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,209,35,9,9,Twitter Web App
69,9440,136,11-08-2024 10:29,@shelbyhatfield,Can't believe the skills on display at Basketball events! Who's your favorite team? #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,21,372,13,4,Twitter for iPhone
70,56183,130,28-07-2024 07:34,@qlewis,The precision and skill at #Gymnastics2024 are awe-inspiring! Let's support our athletes! #Gymnastics2024 #Olympics2024 #Paris2024 http://www.bauer.com/,Gymnastics Highlights,en,46,710,15,0,Twitter Web App
71,42386,160,29-07-2024 15:30,@juliemiller,The atmosphere during the Paris Marathon 2024 is electric! Runners are pushing their limits like never before. #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,4,398,4,1,Twitter for iPhone
72,32781,100,05-08-2024 17:37,@tammymyers,"Unglaublich, was beim Basketball alles möglich ist! Wer ist dein Lieblingsteam? ",Basketball Matches,de,107,886,6,9,Twitter for Android
73,24038,180,06-08-2024 21:51,@danasmith,Heartfelt cheers for our marathoners! Every step counts at Paris'24! #Olympics2024 #Paris2024Marathon #Paris2024,Marathon Race,en,270,314,9,6,Twitter for Android
74,23992,149,27-07-2024 02:23,@rberry,Die Hingabe der Athleten für ihren Sport ist bewundernswert! Die Olympischen Spiele 2024 sind eine Plattform für Großartiges!,Athlete Performances,de,123,322,6,5,Twitter for iPhone
75,80534,146,09-08-2024 01:32,@odaniel,The athletes' dedication to their sport is admirable! #Olympics2024 is a platform for greatness! #athletes #Olympics2024 #Paris2024 http://moreno.com/,Athlete Performances,en,139,475,1,5,Twitter Web App
76,9225,194,27-07-2024 20:15,@lmoore,Can't believe the skills on display at #Basketball! Who's your favorite team?  #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,273,833,1,6,Twitter Web App
77,69621,177,26-07-2024 07:40,@kjenkins,Amazing performances at Swimming in the Olympics! The athletes are pushing their limits! #SwimmingOlympics #Olympics2024 #Medal,Swimming Events,en,86,743,10,9,Twitter for Android
78,51266,122,08-08-2024 20:29,@ymiles,Watching the #Basketball matches has been an adrenaline rush! The energy in the arena is something else! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,169,265,1,8,Twitter for Android
79,41952,127,30-07-2024 09:43,@whitecindy,We must promote a fair playing field for all athletes. Say no to doping! #CleanSport #Olympics2024. #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,144,833,1,1,Twitter for Android
80,17702,194,09-08-2024 05:23,@joshua39,"Every athlete has a story! The journey to Paris Olympics, 2024 is filled with challenges and triumphs. #athletes #Olympics2024 #Paris2024",Athlete Performances,en,170,403,15,6,Twitter for iPhone
81,50055,146,31-07-2024 14:44,@timothycaldwell,Le travail d'équipe dont fait preuve le Basketball est incroyable ! Visez l'or !,Basketball Matches,fr,275,173,5,9,Twitter for Android
82,37938,112,01-08-2024 09:16,@kimberlymurray,It's not just the end; it's a celebration of diversity and achievement at #ClosingCeremony2024! #Olympics2024 #ClosingCeremony2024,Closing Ceremony,en,255,751,1,3,Twitter for iPhone
83,45832,163,08-08-2024 00:36,@garciaronald,The resilience shown during the Marathon Race is remarkable! #Paris2024 #Paris2024Marathon #Olympics2024  https://smith.com/,Marathon Race,en,168,596,2,4,Twitter for iPhone
84,48511,105,03-08-2024 19:54,@bailey27,Cheering for our teams at Soccer! @LettyA the spirit of competition is alive!  #Soccer #Football #Paris2024 #Olympics2024,Soccer Excitement,en,186,977,5,0,Twitter for iPhone
85,73360,151,05-08-2024 19:12,@hmaxwell,Every routine tells a story at gymnastics event! Who will take home the gold? #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,191,139,2,6,Twitter for iPhone
86,14688,199,05-08-2024 20:19,@rmorales,Incredible routines in the gymnasium in Paris! Every flip and twist brings us closer to the excitement of Olympics24. #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,55,896,2,0,Twitter for Android
87,4330,134,08-08-2024 05:29,@qdavis,Die Teamarbeit im Basketball ist unglaublich! Go for gold!,Basketball Matches,de,109,940,7,8,Twitter for Android
88,37664,141,30-07-2024 17:34,@smckay,The atmosphere during the Paris Marathon is electric! Runners are pushing their limits like never before. #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,241,915,12,8,Twitter Web App
89,17393,126,09-08-2024 11:36,@andrea85,Exciting moments in Soccer! Who will shine brightest at Olympics24?  #Soccer #Football #Paris2024 #Olympics2024  http://bryant.org/,Soccer Excitement,en,192,621,3,10,Twitter for Android
90,54061,139,05-08-2024 04:25,@stricklandjonathan,Une course d'endurance et d'esprit ! Qui remportera le Marathon de Paris ?,Marathon Race,fr,217,782,7,10,Twitter for iPhone
91,81253,152,08-08-2024 14:00,@bradpittman,A race of endurance and spirit! Who will conquer the #MarathonRace at #Paris2024? #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,9,244,1,3,Twitter for Android
92,37322,133,10-08-2024 14:55,@michael23,Nothing compares to the joy of winning gold! Let's celebrate #Olympics2024! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,294,773,2,5,Twitter Web App
93,17947,122,06-08-2024 15:12,@whitneydennis,It's time to stand together against doping in sports! Any scandal in doping must not overshadow Olympics. #DopingScandal #SayNoToDoping #CleanSport #Olympics2024,Doping Awareness,en,19,425,13,6,Twitter Web App
94,85096,131,03-08-2024 23:15,@colleenjimenez,"Was für ein Spiel! Die Intensität der Fußballspiele bei Olympia, 24 legt die Messlatte für künftige Wettbewerbe höher.",Soccer Excitement,de,246,305,10,1,Twitter for Android
95,40574,154,03-08-2024 02:42,@gonzalezjeremiah,"Can't wait for the 'Opening Ceremony'! The atmosphere is electric, and the world is watching! #OpeningCeremony2024 #Paris2024 #Olympics2024",Opening Ceremony,en,167,741,8,10,Twitter Web App
96,66288,158,05-08-2024 02:39,@stephanie81,"Es ist Zeit, gemeinsam gegen Doping im Sport vorzugehen! Der Dopingskandal darf die Olympischen Spiele nicht überschatten.",Doping Awareness,de,195,179,6,5,Twitter Web App
97,66879,192,30-07-2024 15:48,@hbecker,Le compte à rebours de la fantastique cérémonie d'accueil a commencé ! Êtes-vous prêts à assister à un spectacle grandiose ?,Opening Ceremony,fr,259,713,10,9,Twitter Web App
98,55110,118,05-08-2024 05:54,@hurstmichael,"Während wir uns von dem Olympia verabschieden, wird uns die Closing Cremona an die unglaublichen Momente erinnern, die wir erlebt haben.",Closing Ceremony,de,33,928,7,5,Twitter for Android
99,1543,132,26-07-2024 17:33,@thomasdavies,The thrill of victory! @HumpNinja Every medal moment is a testament to hard work! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,202,921,8,10,Twitter for iPhone
100,65691,162,07-08-2024 05:42,@jameslara,The passion of the fans is electric! #Soccer at #Olympics2024 is truly a celebration of sport and unity. #Football #Paris2024 #Olympics2024,Soccer Excitement,en,203,974,12,1,Twitter for iPhone
101,96540,164,11-08-2024 14:40,@glennbrandi,What a showcase of talent! These athletes are making their mark at the Olympics! #athletes #Olympics2024 #Paris2024,Athlete Performances,en,146,446,4,4,Twitter for Android
102,21291,104,07-08-2024 07:35,@trevorrichards,The dedication shown by these athletes is incredible! Let's support their journeys at Olympics in Paris! #athletes #Olympics2024 #Paris2024,Athlete Performances,en,83,505,9,8,Twitter Web App
103,67779,129,03-08-2024 23:00,@qhernandez,"Together, we can create a doping-free environment in sports! Stand up for fairness at #Olympics2024!  #SayNoToDoping  #Olympics2024",Doping Awareness,en,247,530,14,4,Twitter Web App
104,37525,188,03-08-2024 05:43,@sbrown,Soccer brings nations together! The excitement at Paris is unmatched! #Soccer #Paris2024 #Olympics2024,Soccer Excitement,en,6,256,10,10,Twitter for Android
105,93917,184,26-07-2024 05:37,@ronaldmcdonald,The intensity of Wrestling match is captivating! These athletes are the best of the best! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,226,700,2,6,Twitter for iPhone
106,14795,177,27-07-2024 00:44,@pamelaalvarez,The dedication shown by these athletes is incredible! Let's support their efforts! #athletes #Olympics2024 #Paris2024  https://reeves.com/,Athlete Performances,en,282,698,0,5,Twitter Web App
107,51362,101,31-07-2024 12:48,@matthew43,Soccer brings nations together! The excitement at Paris Olympics is unmatched! #Soccer #Football #Paris2024 #Olympics2024,Soccer Excitement,en,278,588,14,6,Twitter Web App
108,39366,180,11-08-2024 01:30,@jennifer21,Let's celebrate the athletes who have made their dreams come true with #GoldMedal victories! #Olympics2024 #Paris2024,Gold Medal Moments,en,188,582,3,4,Twitter Web App
109,64360,101,29-07-2024 12:45,@hhunt,What a journey it has been! The final ceremony will reflect on unforgettable moments of Olympics this time. #ClosingCeremony2024 #Olympics2024,Closing Ceremony,en,96,819,2,8,Twitter Web App
110,15819,133,08-08-2024 21:13,@whill,Winning gold is just the beginning! Celebrate the journey with us at this time in Paris! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,159,409,6,2,Twitter for iPhone
111,86002,175,04-08-2024 10:32,@matthew62,The excitement in the arena during #Wrestling2024 is electric! Let's cheer them on! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,240,192,8,3,Twitter for iPhone
112,11262,141,08-08-2024 03:38,@tylervargas,Let's celebrate the athletes who have made their dreams come true with #GoldMedal victories! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,158,305,4,6,Twitter for Android
113,87884,146,10-08-2024 14:56,@parkerjeremiah,The thrill of winning gold is unparalleled! Every moment is a testament to hard work! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,34,100,11,10,Twitter for Android
114,26919,174,02-08-2024 20:16,@higginswilliam,Die Läufer geben beim Marathonlauf alles! Unterstützen wir sie bei der Verwirklichung Ihrer Träume!,Marathon Race,de,166,852,2,6,Twitter for Android
115,97774,154,10-08-2024 11:27,@pmccann,The energy in the arena during Gymnastics is electric! These http://myers.com/  athletes are phenomenal! #Gymnastics2024 #Olympics2024 #Paris2024,Gymnastics Highlights,en,95,462,7,10,Twitter for iPhone
116,96712,131,27-07-2024 03:29,@ybryan,Excited to watch the fierce competition in the pool at #SwimmingOlympics! Who will claim the title? #SwimmingOlympics #Olympics2024 #GoldMedal,Swimming Events,en,142,860,11,2,Twitter Web App
117,59267,141,01-08-2024 02:32,@lgregory,Let's celebrate the athletes who have made their dreams come true with gold medal victories! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,134,432,9,9,Twitter for Android
118,68542,144,01-08-2024 20:03,@claytammy,What a display of talent in Basketball! The stakes are high at Olympics 24 this time! #Basketball #Olympics2024 #Paris2024,Basketball Matches,en,36,585,5,9,Twitter for Android
119,83878,113,28-07-2024 07:54,@kirkscott,Winning gold is just the beginning! Celebrate the journey with us at #Olympics2024! #GoldMedal #Olympics2024 #Paris2024,Gold Medal Moments,en,194,713,14,4,Twitter for Android
120,40380,171,06-08-2024 00:07,@fallen,Quelle démonstration de talent ! Ces athlètes font leur marque aux olympiques de 2024 !,Athlete Performances,fr,128,453,9,6,Twitter for Android
121,85610,126,29-07-2024 12:43,@pamelapruitt,The intensity of Wrestling 2024 is captivating! These athletes are the best of the best! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,235,479,0,8,Twitter Web App
122,62327,191,10-08-2024 01:51,@ojohnson,Amazing performances at the swimming Olympics! Who will set new records this year? #SwimmingOlympics #Olympics2024 ,Swimming Events,en,178,726,9,0,Twitter for Android
123,54940,127,06-08-2024 06:48,@jwilliams,#ClosingCeremony2024 will be a heartfelt goodbye to all the athletes and their incredible performances. #ClosingCeremony2024 #Olympics2024,Closing Ceremony,en,108,11,3,4,Twitter for iPhone
124,35542,172,10-08-2024 07:57,@andersonsophia,Amazing speed and skill are displayed during the Swimming Olympics! Let us encourage our swimmers! #SwimmingOlympics #Olympics2024,Swimming Events,en,68,238,4,4,Twitter for Android
125,12392,163,04-08-2024 03:55,@lindajenkins,Tonight's #OpeningCeremony2024 promises to be a breathtaking display of culture and athleticism! #OpeningCeremony2024 #Paris2024 #Olympics2024,Opening Ceremony,en,98,164,8,3,Twitter for Android
126,40030,138,08-08-2024 10:06,@lanechristine,Can't wait for the soccer matches! This is where legends are made at the Paris Olympics 2024! #Soccer #Paris2024 #Olympics2024,Soccer Excitement,en,245,309,3,6,Twitter for Android
127,52682,192,11-08-2024 22:50,@haleyelizabeth,Witnessing the grit of competitors in Wrestling 2024 is a true testament to their dedication! #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,205,236,3,9,Twitter for iPhone
128,88281,169,29-07-2024 04:45,@ncain,The atmosphere in the arena during #Wrestling2024 is electrifying! Let us cheer them on!  #Wrestling2024 #Olympics2024 #Paris2024,Wrestling Action,en,130,868,4,9,Twitter for iPhone
129,3787,114,04-08-2024 23:53,@anna28,What a test of endurance! The #MarathonRace at #Paris2024 will showcase the best athletes! #Paris2024Marathon #Olympics2024 #Paris2024,Marathon Race,en,51,195,8,10,Twitter for iPhone
